Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Davidson,33,13_5,21_12,117,102.3,14.5,16.2,56.5,50.3,38.9,35,24.6,29.6,51
North Carolina St.,33,11_7,21_12,115.6,101.3,16.8,20.4,52.1,53.6,37.2,31.6,34.2,33.7,52
Middle Tennessee,32,16_2,25_8,110.3,96.8,18.6,19.1,51.9,50.4,37.1,31.5,30.1,40.8,53
Utah,35,11_7,23_12,111.4,97.9,17.5,17.5,53.6,47,37,33.6,34.4,28.8,54
Arizona St.,32,8_10,20_12,115.7,102.1,14.7,20.4,53.2,50.2,36.4,34.2,41.3,32.7,55
Boise St.,31,13_5,23_9,109.2,96.3,18.9,16.4,52,48.4,37.5,33,31,29.5,56
Alabama,36,8_10,20_16,107.9,95.3,20.3,18.7,53.5,46.9,32.6,32.8,41.9,36.5,57
Western Kentucky,37,14_4,27_11,113.8,100.7,16.6,17.9,54.6,46.7,35.4,36,40,23.9,58
UCLA,33,11_7,21_12,113.7,100.6,16.6,14.5,51.4,47.3,38.1,34.6,35.5,29.7,59
Providence,35,10_8,21_14,108.4,95.9,17.4,19,49.5,51.5,33.2,32.2,38.6,31.8,60
Georgia,33,7_11,18_15,107.5,95.3,19.2,14.5,47.4,43.1,31.8,33.2,40.1,27.7,61
South Dakota St.,31,13_1,28_7,113.2,100.4,14,14.2,50.7,49.8,39.3,33.6,35.4,25.6,62
Rhode Island,34,15_3,26_8,109.7,97.3,15.3,22.6,50.4,50.6,35.2,33.2,30.1,40.6,63
New Mexico St.,31,12_2,28_6,106.8,95,17.4,19,52,45.7,34,31.1,29.1,33,64
Old Dominion,32,15_3,25_7,107.5,95.7,15.5,21.6,49.3,45.6,35.7,33.8,33,30.3,65
Louisiana Lafayette,32,16_2,27_7,112.2,100.6,18.3,19.6,52.4,48.5,35.4,33.6,38,36.1,66
St. John's,32,4_14,16_17,106,95.1,16.4,22.2,48.8,46,33.3,37.4,30.4,34.4,67
Buffalo,35,15_3,27_9,114.5,102.7,16.5,18.1,54.3,48.4,37.1,33.1,29.9,39.5,68
LSU,33,8_10,18_15,114.2,102.7,16.6,19.6,56.3,52.6,34.6,35.3,32.5,32.7,69
Georgetown,30,5_13,15_15,111.5,100.4,20.7,17,50.1,49.9,36.6,34.8,38.3,28.3,70
Indiana,31,9_9,16_15,108.8,98,18.2,19.7,52.5,48.4,32.2,36.7,36.4,32.2,71
Fresno St.,30,11_7,21_11,108.5,98,17.4,18.8,52.7,46.7,39,36.8,38.4,39,72
