Name_LowerRank,GamesPlayed_LowerRank,ConfRecord_LowerRank,TotalRecord_LowerRank,OffEff_LowerRank,DefEff_LowerRank,Turnovers_LowerRank,ForcedTurnovers_LowerRank,2PFGOff_LowerRank,2PFGDef_LowerRank,3PFGOff_LowerRank,3PFGDef_LowerRank,FTOff_LowerRank,FTDef_LowerRank,Rank_LowerRank,Name_HigherRank,GamesPlayed_HigherRank,ConfRecord_HigherRank,TotalRecord_HigherRank,OffEff_HigherRank,DefEff_HigherRank,Turnovers_HigherRank,ForcedTurnovers_HigherRank,2PFGOff_HigherRank,2PFGDef_HigherRank,3PFGOff_HigherRank,3PFGDef_HigherRank,FTOff_HigherRank,FTDef_HigherRank,Rank_HigherRank,Results_HigherRank,Differntial,Score,PlusMinus_HigherRank
Lafayette,29,5_13,9_21,95.2,111.9,20.7,18.2,49.2,52.2,32.6,38.4,29.4,30.4,328,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,40, 88_48 ,24.0
Purdue,35,14_4,27_8,116.6,93.1,18.3,16.6,52.7,46.6,40.3,33.2,33.3,22.9,16,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,3, 79_76 ,2.9
Western Michigan,31,11_7,16_16,105.2,105.1,17.6,18.3,48.2,53.9,38.3,36.1,35.0,34.2,165,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,11, 76_65 ,6.4
Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,19, 96_77 ,11.3
UCF,36,11_7,24_12,103.8,92.1,22.0,14.7,48.9,39.9,35.2,31.3,39.9,22.3,61,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,10, 67_57 ,6.7
College of Charleston,34,14_4,25_10,104.6,99.5,15.9,18.6,49.1,48.9,33.2,31.1,42.7,31.9,107,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,16, 63_47 ,11.6
Penn,28,6_8,13_15,102.0,101.6,18.9,20.1,52.2,45.3,33.9,36.0,26.0,33.6,159,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,25, 82_57 ,14.1
Saint Joseph's,31,4_14,11_20,101.6,102.6,17.0,18.0,45.7,50.3,32.4,34.9,40.1,32.5,177,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,31, 88_57 ,9.5
La Salle,30,9_9,15_15,109.1,107.0,18.6,17.7,52.4,51.3,36.4,39.4,38.3,33.1,141,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,10, 89_79 ,4.3
Notre Dame,36,12_6,26_10,119.3,96.4,14.0,18.7,50.9,48.2,38.4,33.8,28.6,26.7,22,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,8, 74_66 ,-4.3
Temple,32,7_11,16_16,107.9,102.4,16.6,18.3,47.0,47.7,35.6,34.3,26.4,32.1,104,Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35.0,22.1,3,W,21, 78_57 ,8.2
